mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.24	89.10	43.00	0.34	78.10	45.90
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.11	92.90	21.10	0.18	86.60	25.20
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.35	90.70	33.60	0.40	86.10	34.60
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.34	91.80	31.80	0.40	86.20	33.50
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.34	91.80	31.80	0.40	86.20	33.50
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.22	90.60	25.30	0.39	75.20	32.10
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.35	91.90	32.10	0.39	89.10	34.40
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.10	91.90	25.70	0.16	86.70	28.70
0	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.39	91.30	35.10	0.46	85.60	37.00
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.19	87.00	32.30	0.33	69.50	38.50
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.25	86.50	34.90	0.41	76.30	40.60
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.39	90.10	43.30	0.42	87.80	44.20
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.39	90.80	41.10	0.46	82.30	43.20
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.39	90.80	41.10	0.46	82.30	43.20
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.55	89.20	32.60	0.58	86.20	33.50
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.38	91.40	42.20	0.43	86.80	43.90
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.29	88.40	38.80	0.38	80.00	40.70
1	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.40	90.80	41.30	0.45	86.00	43.10
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.17	92.80	19.80	0.54	76.70	30.40
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.12	94.90	14.40	0.12	94.90	14.40
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.20	95.30	14.50	0.67	66.30	22.80
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.16	95.20	14.10	0.57	73.60	20.50
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.16	95.20	14.10	0.57	73.60	20.50
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.78	91.20	24.60	0.85	88.30	25.30
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.17	95.40	14.00	0.63	68.30	23.60
2	0.25	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.30	94.60	15.70	0.24	94.30	15.90
