mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1100	92.9000	21.1000	0.1800	86.6000	25.2000
0	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2200	90.6000	25.3000	0.3900	75.2000	32.1000
1	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.5500	89.2000	32.6000	0.5800	86.2000	33.5000
1	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.2500	86.5000	34.9000	0.4100	76.3000	40.6000
2	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1200	94.9000	14.4000	0.1200	94.9000	14.4000
2	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.7800	91.2000	24.6000	0.8500	88.3000	25.3000
0	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3400	91.8000	31.8000	0.4000	86.2000	33.5000
3	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.1400	95.1000	14.0000	0.1400	95.1000	14.0000
0	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2600	88.4000	31.8000	0.4100	73.0000	37.6000
1	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3900	90.8000	41.1000	0.4600	82.3000	43.2000
1	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2200	90.5000	26.9000	0.3900	75.1000	34.7000
3	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.4700	94.0000	16.8000	0.9100	77.2000	20.8000
2	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2500	88.5000	27.3000	0.3600	78.9000	33.0000
0	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1200	87.7000	34.5000	0.1400	82.3000	35.2000
2	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.1600	95.2000	14.1000	0.5700	73.6000	20.5000
1	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1200	91.9000	23.2000	0.1700	87.1000	26.0000
3	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.4800	90.1000	29.7000	0.5800	84.4000	33.8000
2	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1400	90.2000	24.4000	0.1800	86.9000	26.6000
4	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.5500	89.5000	33.3000	0.6200	84.0000	34.9000
3	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3000	94.2000	17.0000	0.5800	87.8000	20.0000
3	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1700	89.8000	29.3000	0.3600	74.9000	36.5000
5	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.7000	92.9000	23.4000	0.8600	87.6000	25.4000
0	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.2300	91.8000	39.5000	0.2800	88.1000	42.5000
0	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2600	88.0000	32.7000	0.4100	72.0000	37.6000
4	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.2600	84.9000	36.0000	0.3900	75.6000	42.2000
1	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2600	88.7000	32.6000	0.4100	72.4000	37.8000
1	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3000	90.5000	30.5000	0.3600	84.6000	32.2000
2	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2600	88.7000	29.3000	0.4100	75.2000	35.9000
5	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.3700	92.5000	19.0000	0.6300	64.1000	28.5000
2	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3300	91.0000	33.9000	0.4000	84.7000	35.1000
3	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.4800	90.7000	30.5000	0.6100	85.1000	34.5000
0	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1000	89.5000	32.8000	0.1400	82.1000	36.0000
0	1.0000	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.2700	88.2000	32.6000	0.3900	72.4000	37.5000
3	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3300	91.5000	36.5000	0.3900	84.7000	38.7000
1	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1000	89.9000	32.5000	0.1600	79.1000	36.0000
2	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1300	91.4000	24.9000	0.1800	86.1000	27.3000
4	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3400	90.3000	40.7000	0.4200	84.5000	43.6000
3	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1900	89.0000	31.0000	0.3300	78.0000	39.0000
0	1.0000	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.1100	87.7000	35.4000	0.1400	81.9000	37.0000
5	0.5000	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.2200	94.3000	17.6000	0.5700	66.0000	26.9000
0	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.2100	93.8000	37.1000	0.3000	83.0000	40.6000
1	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.2400	90.3000	42.2000	0.2700	86.8000	43.9000
2	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.2400	93.7000	28.9000	0.3600	81.9000	34.1000
0	0.2500	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.3000	12.5000	0.1000	91.9000	25.7000	0.1600	86.7000	28.7000
3	0.7500	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.3200	88.7000	39.6000	0.3700	83.5000	40.8000
