mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.2600	93.9184	72.6713	0.2600	93.9184	72.6713
2	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.1800	96.3048	60.5466	0.2000	96.1894	60.6236
3	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
3	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.1900	94.8037	71.7475	0.2200	93.8029	71.7860
1	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerConductance	0	96.2279	59.8537	0.5000	93.4565	78.4065	0.5000	93.4565	78.4065
4	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.2600	93.9184	72.7098	0.2600	93.9184	72.7098
2	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerConductance	0	96.2279	59.8537	0.2400	96.0739	63.2410	0.2400	96.0739	63.2410
3	0.2500	SVHN	ResNet50	LinfPGD	0.01	LayerConductance	0	96.2279	59.8537	0.0200	96.2279	60.0077	0.0200	96.2279	60.0077
0	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
5	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.1800	96.3048	60.5466	0.3000	94.5343	60.7390
0	0.2500	SVHN	ResNet50	LinfPGD	0.01	InternalInfluence	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0100	87.7213	68.0908
1	0.5000	SVHN	ResNet50	LinfPGD	0.01	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.01	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
