mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.0900	97.9920	64.5582	0.1100	97.0884	64.8594
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.0100	99.3976	58.0321	0.0100	99.3976	58.0321
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.2500	98.6948	70.8835	0.3200	96.2851	72.0884
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.1700	97.4900	69.9799	0.2100	94.2771	70.9839
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.1700	97.4900	69.8795	0.2100	94.2771	70.9839
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0400	98.4940	59.5382	0.0400	98.4940	59.5382
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.2600	98.2932	72.4900	0.2800	97.6908	72.5904
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.1600	97.8916	69.3775	0.2100	93.5743	70.6827
0	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.2800	98.5944	70.8835	0.3400	96.6867	72.4900
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.0800	97.4900	66.2651	0.1100	95.3815	67.7711
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.1300	99.2972	59.1365	0.1300	99.2972	59.1365
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.0700	98.5944	65.6627	0.1400	93.0723	67.5703
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.1400	98.3936	64.6586	0.3000	96.3855	65.2610
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.0500	98.4940	69.1767	0.0800	96.0843	71.1847
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0200	99.3976	58.0321	0.0200	99.3976	58.0321
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.0600	98.5944	68.2731	0.0700	97.2892	68.6747
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.0500	98.6948	69.2771	0.0900	95.3815	70.0803
1	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.0800	97.6908	66.2651	0.1100	94.9799	67.4699
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.2200	98.4940	62.1486	0.2900	97.3896	63.2530
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.0000	99.3976	57.9317	0.2100	98.6948	58.1325
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.1600	98.8956	61.8474	0.3600	96.9880	62.8514
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.1400	98.3936	64.6586	0.3000	96.3855	65.2610
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.1400	98.3936	64.6586	0.3000	96.3855	65.2610
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0000	99.3976	57.9317	0.0000	99.3976	57.9317
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.2000	97.7912	64.4578	0.2000	97.7912	64.4578
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.1500	98.4940	64.0562	0.3000	96.3855	65.2610
2	0.3333	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.1200	99.1968	61.1446	0.1500	98.8956	61.2450
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.0200	98.9960	64.4578	0.0900	91.3655	65.3614
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.0300	99.3976	58.2329	0.0300	99.3976	58.2329
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.0700	98.6948	67.0683	0.0900	96.6867	67.5703
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.0500	98.0924	71.1847	0.0800	93.8755	71.6867
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.0500	98.0924	71.1847	0.0800	93.8755	71.6867
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0100	99.2972	58.6345	0.0100	99.2972	58.6345
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.0400	98.9960	68.0723	0.0700	96.6867	70.2811
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.0500	98.2932	71.1847	0.0900	92.6707	71.9880
0	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.0600	98.4940	66.6667	0.1100	94.0763	67.9719
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.0400	98.8956	62.9518	0.1000	97.4900	64.0562
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.0100	99.3976	58.0321	0.0100	99.3976	58.0321
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.2200	97.8916	70.2811	0.2600	95.4819	70.3815
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.1300	97.0884	69.3775	0.1400	96.8876	69.5783
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.1400	96.8876	69.6787	0.1400	96.8876	69.6787
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0400	98.4940	59.5382	0.0400	98.4940	59.5382
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.1800	96.2851	70.7831	0.2400	93.8755	72.7912
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.1300	97.3896	69.6787	0.1300	97.3896	69.6787
1	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.1600	98.6948	68.1727	0.1600	98.6948	68.1727
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.0300	98.9960	63.4538	0.0900	96.1847	65.4618
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.1500	98.6948	59.1365	0.1500	98.6948	59.1365
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.0700	98.1928	65.2610	0.0800	96.9880	65.6627
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.0600	96.8876	70.5823	0.0800	94.7791	71.2851
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.0600	96.8876	70.5823	0.0800	94.7791	71.2851
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0200	99.3976	58.0321	0.0200	99.3976	58.0321
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.0600	97.2892	69.4779	0.0700	95.7831	69.9799
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.0600	96.7871	70.6827	0.0600	96.7871	70.6827
2	0.6666	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.0600	98.1928	66.0643	0.0800	96.4859	66.2651
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	InternalInfluence	0	99.3976	57.9317	0.0200	98.6948	64.2570	0.0200	98.6948	64.2570
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerActivation	0	99.3976	57.9317	0.0100	99.3976	58.0321	0.0100	99.3976	58.0321
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerConductance	0	99.3976	57.9317	0.0700	98.0924	67.0683	0.0700	98.0924	67.0683
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLift	0	99.3976	57.9317	0.0500	97.1888	71.2851	0.0600	95.9839	71.4859
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerDeepLiftShap	0	99.3976	57.9317	0.0500	97.1888	71.2851	0.0600	95.9839	71.6867
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerGradCam	0	99.3976	57.9317	0.0100	99.2972	58.6345	0.0100	99.2972	58.6345
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerGradientShap	0	99.3976	57.9317	0.0500	97.7912	70.2811	0.0600	97.1888	70.8835
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerGradientXActivation	0	99.3976	57.9317	0.0500	97.2892	71.1847	0.0600	95.7831	71.2851
0	1.0000	MNIST	LeNet	LinfPGD	0.1000	LayerIntegratedGradients	0	99.3976	57.9317	0.0500	98.7952	66.2651	0.0900	94.3775	66.8675
