mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0100	87.7213	68.0908
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0200	79.9461	60.7005
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.1900	93.4950	74.6343	0.2200	91.2240	74.9808
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.2600	93.9184	72.6713	0.2600	93.9184	72.6713
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.5000	93.4565	78.4065	0.5000	93.4565	78.4065
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.4000	94.8037	76.9823	0.5300	91.9169	78.5604
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.4000	94.8807	76.9053	0.5300	91.9554	78.5604
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.3700	93.8029	70.7467	0.4100	93.6105	70.9007
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.4200	94.3803	77.5982	0.4600	93.4565	78.1755
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.2800	94.0339	72.7868	0.2900	93.8799	72.8637
1	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.4400	94.6882	77.9831	0.4800	93.8799	78.5219
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.1200	95.1116	64.9731	0.1800	93.2256	65.3965
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.1800	96.3048	60.5466	0.2000	96.1894	60.6236
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.2400	96.0739	63.2410	0.2400	96.0739	63.2410
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.3200	95.8814	63.7798	0.4300	95.4580	63.9723
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.3200	95.3811	63.0100	0.3200	95.3811	63.0100
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.1000	96.3048	62.9330	0.1100	96.1894	62.9715
2	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.2400	95.9199	62.5866	0.2800	95.5735	62.9330
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.2000	96.3048	60.4696	0.2000	96.3048	60.4696
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0200	96.2279	60.0077	0.0200	96.2279	60.0077
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0200	96.2279	60.0077	0.0200	96.2279	60.0077
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0200	96.2279	60.0077	0.0200	96.2279	60.0077
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0700	96.1509	60.2771	0.0700	96.1509	60.2771
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0200	96.2279	60.0077	0.0200	96.2279	60.0077
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.3100	96.2279	60.1617	0.3800	96.1894	60.2002
3	0.2500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0200	96.2279	60.0077	0.0200	96.2279	60.0077
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0100	87.5289	68.7452	0.0100	87.5289	68.7452
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0700	78.9069	61.2009
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0100	87.4904	68.4373
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0200	79.2148	60.7390
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0100	87.8753	68.1678
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0200	79.8691	60.9700
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.1000	93.4950	71.7090	0.1200	91.9938	72.1324
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.1900	94.8037	71.7475	0.2200	93.8029	71.7860
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.3100	94.7652	73.9415	0.3600	92.4942	74.4034
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.3500	94.6112	74.7498	0.3800	92.3018	75.2117
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.3500	94.6497	74.7498	0.3700	93.5335	75.1732
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.2400	95.1886	68.2833	0.3900	91.3010	70.4773
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.3000	94.8807	74.0185	0.3400	92.9561	74.6728
